timestamp_UT, r0_L, r0_T, scint_L, scint_R, mean_counts_L, mean_counts_R, bg_flux_mean, bg_flux_std
2025-12-07 18:06:36, 0.0465183463, 0.0510708574, 0.1835377935, 0.1335205847, 2109.9853, 2064.1471, 768.3950, 20.9322
2025-12-07 18:06:41, 0.0480112535, 0.0443401969, 0.0935046003, 0.0895138565, 2155.3404, 2146.7660, 770.2400, 18.2355
2025-12-07 18:06:47, 0.0819831329, 0.0743143628, 0.1500060057, 0.1473726862, 2159.2692, 2204.2885, 769.1700, 18.7867
2025-12-07 18:06:53, 0.0651366844, 0.0673783804, 0.1077806300, 0.0935030473, 2137.6481, 2115.6667, 771.6250, 19.7953
2025-12-07 18:06:59, 0.0613937194, 0.0703123495, 0.1374525523, 0.1550706210, 2066.5094, 2074.5660, 771.5700, 17.0328
2025-12-07 18:07:05, 0.0546202363, 0.0547536379, 0.1462366670, 0.1032361746, 2288.6452, 2154.5000, 768.6850, 18.5393
2025-12-07 18:07:11, 0.0455438358, 0.0431552223, 0.1056613440, 0.1015318860, 2151.9846, 2025.3538, 768.4600, 17.3208
2025-12-07 18:07:16, 0.0380099087, 0.0338679820, 0.1707982276, 0.1492998963, 2305.4638, 2159.3768, 766.8950, 16.6935
2025-12-07 18:07:22, 0.0365922937, 0.0351969668, 0.1079408093, 0.0893069370, 2125.7833, 2027.3667, 769.8750, 15.6246
2025-12-07 18:07:28, 0.0507912866, 0.0434134073, 0.0785150790, 0.1209769035, 2139.1034, 2140.8276, 766.5400, 18.8610
2025-12-07 18:07:34, 0.0490217755, 0.0542844507, 0.1200103753, 0.0922304479, 2312.9455, 2206.4364, 767.0300, 17.9089
2025-12-07 18:07:40, 0.0563346138, 0.0519084302, 0.0875596168, 0.1012606142, 1986.9310, 1983.4655, 766.0550, 18.2577
2025-12-07 18:07:45, 0.0583160551, 0.0725414524, 0.0956247834, 0.1128869378, 2306.1875, 2235.1042, 765.8050, 17.5125
2025-12-07 18:07:51, 0.0614183523, 0.0609604690, 0.1385989957, 0.0729088421, 2250.8889, 2229.2889, 764.1950, 17.1778
2025-12-07 18:07:57, 0.0959725170, 0.0700026381, 0.1379589963, 0.0725268761, 1981.3571, 1927.4286, 763.9500, 16.8439
2025-12-07 18:08:03, 0.0677848133, 0.0622070217, 0.0902372932, 0.0889778239, 2145.9600, 2122.8600, 768.0100, 18.2455
2025-12-07 18:08:08, 0.0830158078, 0.0585071314, 0.0936820671, 0.1311709598, 2104.1429, 2061.6531, 768.7750, 16.8907
2025-12-07 18:08:14, 0.0580445804, 0.0452790136, 0.0755385940, 0.0819559317, 2066.3696, 2104.9565, 774.5900, 18.2201
2025-12-07 18:08:20, 0.0692528380, 0.0883415475, 0.0866035699, 0.0948197804, 2142.7255, 2107.4118, 774.5950, 18.1439
2025-12-07 18:08:26, 0.0877251725, 0.0751809924, 0.0773137580, 0.0727208421, 2066.4706, 1980.4118, 772.6150, 17.0987
2025-12-07 18:08:31, 0.0618725871, 0.0569074920, 0.1004271596, 0.1067838511, 2204.0204, 2180.7959, 775.7500, 19.5946
2025-12-07 18:08:37, 0.0491897870, 0.0447551233, 0.1014620778, 0.0844585478, 2058.4286, 2018.4416, 773.3500, 18.0255
