timestamp_UT, r0_L, r0_T, scint_L, scint_R, mean_counts_L, mean_counts_R, bg_flux_mean, bg_flux_std
2025-12-08 17:56:11, 0.0466483909, 0.0318869442, 0.0674060717, 0.0518173160, 3163.7292, 3002.1875, 766.0850, 17.4776
2025-12-08 17:56:17, 0.0459053052, 0.0383291231, 0.0620238019, 0.0453058498, 2807.1774, 2561.5484, 767.5550, 17.8064
2025-12-08 17:56:23, 0.0553049654, 0.0337021362, 0.0748111986, 0.0597111519, 3089.2466, 2843.9041, 767.3400, 19.1448
2025-12-08 17:56:29, 0.0486879477, 0.0483647194, 0.0610551587, 0.0719258127, 3298.5231, 3154.3077, 766.9250, 16.8873
2025-12-08 17:56:35, 0.0637225633, 0.0514580991, 0.0495457435, 0.0432773623, 2846.1410, 2728.1026, 765.7900, 16.6840
2025-12-08 17:56:41, 0.0738165165, 0.0771318504, 0.0591579143, 0.0341747488, 2829.5714, 2598.5714, 765.0550, 18.7974
2025-12-08 17:56:47, 0.0492998196, 0.0609776709, 0.0866641695, 0.0642607315, 3102.2545, 2773.5818, 767.8100, 17.6007
2025-12-08 17:56:53, 0.0433348962, 0.0462381291, 0.0527668667, 0.0593460916, 2900.4500, 2774.4667, 769.5150, 19.3819
2025-12-08 17:56:59, 0.0558812624, 0.0486530121, 0.0421270229, 0.0424770668, 2971.3521, 2650.6056, 767.2700, 17.3155
2025-12-08 17:57:05, 0.0512721369, 0.0571925880, 0.0424180238, 0.0470565950, 2951.2029, 2821.4348, 767.3700, 17.7571
2025-12-08 17:57:11, 0.0523239764, 0.0451686795, 0.0460212619, 0.0438395807, 3103.7564, 2915.2564, 766.2200, 16.8072
2025-12-08 17:57:17, 0.0368287647, 0.0330432243, 0.0513048096, 0.0541056312, 3062.7941, 2741.4559, 766.8900, 18.9472
2025-12-08 17:57:23, 0.0328456953, 0.0368931026, 0.0558762176, 0.0486692954, 2964.5942, 2614.5797, 771.1900, 18.8246
2025-12-08 17:57:29, 0.0629788247, 0.0485458429, 0.0413762301, 0.0475606874, 3059.6875, 2898.2188, 767.4900, 17.7629
2025-12-08 17:57:35, 0.0516394058, 0.0664158870, 0.0624751066, 0.0467470386, 2848.3061, 2674.5714, 768.1650, 19.3424
2025-12-08 17:57:41, 0.0612015325, 0.0498445967, 0.0596291569, 0.0552093231, 2960.4603, 2752.9048, 767.6650, 18.4587
2025-12-08 17:57:47, 0.0638595058, 0.0544091256, 0.0423398287, 0.0426400275, 2955.2206, 2830.7647, 768.2900, 16.3730
2025-12-08 17:57:53, 0.0533919898, 0.0496638349, 0.0397984648, 0.0457914419, 2799.7632, 2721.6711, 768.1000, 18.4244
2025-12-08 17:57:58, 0.0530238324, 0.0508849221, 0.0683420978, 0.0670827705, 3115.7193, 2780.8246, 768.1200, 18.8326
2025-12-08 17:58:04, 0.0721402801, 0.0554929413, 0.0592186434, 0.0468836016, 2995.0870, 2680.8043, 765.5900, 18.1574
2025-12-08 17:58:11, 0.0587421924, 0.0421068619, 0.0494874537, 0.0424942766, 2915.4568, 2707.4444, 765.6550, 18.9973
2025-12-08 17:58:17, 0.0581330804, 0.0600947502, 0.0527397218, 0.0426795720, 2931.3333, 2754.7879, 765.5350, 16.8757
2025-12-08 17:58:23, 0.0513893430, 0.0511310535, 0.0654939254, 0.0606544065, 2890.5479, 2736.5479, 768.9600, 18.3049
2025-12-08 17:58:29, 0.0508139210, 0.0485408627, 0.0542852021, 0.0548098619, 3058.8276, 2821.1207, 766.3900, 17.0138
2025-12-08 17:58:34, 0.0478854531, 0.0352192281, 0.0371886486, 0.0361781035, 2929.3714, 2669.3714, 765.4650, 18.5881
2025-12-08 17:58:41, 0.0402875756, 0.0449671724, 0.0450983441, 0.0546235638, 3151.7576, 2922.2879, 766.2100, 17.8170
2025-12-08 17:58:46, 0.0303960454, 0.0314613279, 0.0511846494, 0.0403827114, 2987.2464, 2751.6087, 766.4900, 18.5451
2025-12-08 17:58:52, 0.0429058702, 0.0434727226, 0.0480074870, 0.0562917970, 3202.1406, 2863.3438, 765.6900, 16.7318
2025-12-08 17:58:58, 0.0262768974, 0.0274677815, 0.0530196454, 0.0444959550, 2926.3443, 2634.1311, 765.7250, 19.1044
2025-12-08 17:59:04, 0.0666789606, 0.0481655743, 0.0524607421, 0.0392344878, 3009.0690, 2753.8793, 764.5650, 18.8182
2025-12-08 17:59:10, 0.0522930537, 0.0542407944, 0.0356470681, 0.0345230628, 2974.5846, 2754.3385, 764.4350, 17.4317
2025-12-08 17:59:15, 0.0537426431, 0.0607339277, 0.0380456057, 0.0457337942, 3158.6232, 2966.1014, 765.3300, 19.1283
2025-12-08 17:59:21, 0.0584713924, 0.0528305939, 0.0639498674, 0.0493860704, 3022.4928, 2810.2609, 764.9000, 20.1856
2025-12-08 17:59:27, 0.0417624367, 0.0430542280, 0.0635020092, 0.0517672746, 3061.2951, 2730.9180, 764.1500, 18.5383
2025-12-08 17:59:33, 0.0611537283, 0.0641922758, 0.0512110198, 0.0511601144, 3023.5614, 2873.4737, 762.4350, 20.2883
2025-12-08 17:59:39, 0.0509157939, 0.0530105085, 0.0499561835, 0.0432419949, 2882.1714, 2701.2571, 763.0600, 19.1112
2025-12-08 17:59:44, 0.0715476348, 0.0824442500, 0.0504103508, 0.0398193189, 3051.4340, 2782.7547, 768.5100, 18.2833
2025-12-08 17:59:50, 0.0641936269, 0.0617464884, 0.0614975074, 0.0504853799, 2959.1129, 2817.6935, 766.6700, 17.6930
2025-12-08 17:59:56, 0.0937880965, 0.0977049485, 0.0583043700, 0.0529941623, 2859.1071, 2747.0179, 767.5150, 17.6686
2025-12-08 18:00:02, 0.0777528546, 0.0801574995, 0.0709225057, 0.0553220822, 3001.8571, 2999.3016, 766.2100, 16.4959
2025-12-08 18:00:08, 0.0578477609, 0.0508035883, 0.0488037633, 0.0485496240, 3033.9167, 2869.2667, 765.6600, 19.6042
2025-12-08 18:00:13, 0.0538680097, 0.0444627691, 0.0184255547, 0.0281583619, 3136.8475, 2809.2542, 766.5100, 18.3576
2025-12-08 18:00:19, 0.0546262389, 0.0550224697, 0.0342253537, 0.0395964108, 3018.4028, 2772.0139, 769.2800, 20.4939
2025-12-08 18:00:25, 0.0504022713, 0.0545850897, 0.0481541101, 0.0406767461, 2895.1370, 2751.8630, 765.1500, 18.5340
2025-12-08 18:00:31, 0.0478494981, 0.0454117423, 0.0756226394, 0.0702851325, 3091.5000, 2924.7674, 763.6500, 17.8395
2025-12-08 18:00:37, 0.0498383514, 0.0350215786, 0.0467527329, 0.0458507875, 2916.9077, 2834.3846, 765.2800, 18.6019
2025-12-08 18:00:43, 0.0404554271, 0.0371487415, 0.0514584017, 0.0342957028, 3043.5811, 2770.0405, 765.0200, 17.1310
2025-12-08 18:00:49, 0.0555398069, 0.0471917655, 0.0548165645, 0.0508366398, 3098.3636, 2909.4675, 764.6100, 16.9549
2025-12-08 18:00:55, 0.0578258452, 0.0477293031, 0.0584667974, 0.0558255821, 3185.6301, 2971.7808, 760.9550, 16.9367
2025-12-08 18:01:01, 0.0432048565, 0.0488373039, 0.0569838695, 0.0570140377, 2953.1268, 2747.2817, 762.3050, 17.5762
2025-12-08 18:01:07, 0.0479569616, 0.0440107856, 0.0758395449, 0.0559812153, 3044.1831, 2672.0141, 760.4100, 18.9698
2025-12-08 18:01:12, 0.0529968118, 0.0374296185, 0.0848247272, 0.0479388570, 3054.2794, 2773.6618, 762.2600, 18.3096
2025-12-08 18:01:18, 0.0578717673, 0.0515404024, 0.0301093843, 0.0288842985, 3040.2817, 2806.0704, 758.8250, 19.2602
2025-12-08 18:01:24, 0.0507370634, 0.0499173002, 0.0542034189, 0.0419395745, 3168.9718, 2931.0141, 769.5100, 17.2157
2025-12-08 18:01:30, 0.0464691434, 0.0532601821, 0.0369462193, 0.0405189001, 3264.0794, 2945.6508, 764.2850, 16.7644
2025-12-08 18:01:36, 0.0577445695, 0.0549272841, 0.0560640892, 0.0486328385, 3136.9254, 3070.9851, 764.9250, 18.4141
2025-12-08 18:01:42, 0.0541616390, 0.0481061015, 0.0541216622, 0.0648068010, 2953.2059, 2866.2353, 763.1550, 17.5477
2025-12-08 18:01:48, 0.0502770389, 0.0401047584, 0.0532950373, 0.0480905193, 3073.0161, 2798.3871, 764.7900, 18.2764
2025-12-08 18:01:54, 0.0566155458, 0.0465887662, 0.0707457565, 0.0591509434, 3043.0606, 2805.9697, 765.5650, 18.5342
2025-12-08 18:02:00, 0.0304501635, 0.0310729384, 0.0483310259, 0.0443310232, 3148.6885, 2837.6557, 764.0200, 17.4149
2025-12-08 18:02:06, 0.0692874569, 0.0559457071, 0.0342259274, 0.0293238096, 2882.1690, 2728.3380, 767.1650, 17.2551
2025-12-08 18:02:11, 0.0399499905, 0.0296823894, 0.0495073252, 0.0502048151, 3017.4211, 2771.1842, 764.4650, 18.5402
2025-12-08 18:02:17, 0.0431195378, 0.0521591824, 0.0368556402, 0.0423786185, 3060.9014, 2831.2394, 768.7300, 16.3621
2025-12-08 18:02:23, 0.0324486095, 0.0370033681, 0.0590206339, 0.0475365769, 2727.5231, 2487.0154, 768.8100, 19.0985
2025-12-08 18:02:29, 0.0421819355, 0.0309857091, 0.0596434046, 0.0443429395, 2955.7260, 2696.5616, 767.9000, 17.8888
2025-12-08 18:02:35, 0.0492163506, 0.0497086942, 0.0493492278, 0.0379611382, 2987.3594, 2853.5312, 765.6350, 17.1199
2025-12-08 18:02:41, 0.0476347164, 0.0475226810, 0.0476359602, 0.0374240193, 3035.4107, 2799.3750, 766.4000, 20.5024
2025-12-08 18:02:47, 0.0462397109, 0.0464460780, 0.0369668621, 0.0320720610, 2855.0526, 2578.9298, 766.5500, 17.6980
2025-12-08 18:02:53, 0.0435514153, 0.0482796686, 0.0513679248, 0.0561069095, 3012.4194, 2757.4677, 764.2600, 18.7257
2025-12-08 18:02:58, 0.0428354214, 0.0372772103, 0.0532655373, 0.0514673570, 2996.1719, 2854.0938, 764.7800, 17.0027
2025-12-08 18:03:04, 0.0610077148, 0.0622869465, 0.0687489274, 0.0522652918, 2992.9245, 2890.0000, 765.7600, 18.0181
2025-12-08 18:03:10, 0.0326579795, 0.0249815840, 0.0676946265, 0.0637780723, 2995.4386, 2665.1228, 763.5150, 17.8519
2025-12-08 18:03:16, 0.0592163786, 0.0623485233, 0.0378965568, 0.0495069387, 3019.7895, 2879.8596, 764.5650, 18.9514
2025-12-08 18:03:22, 0.0683735419, 0.0546087563, 0.0596523248, 0.0498095565, 2916.8421, 2762.2456, 763.5700, 16.9206
2025-12-08 18:03:27, 0.0585256980, 0.0539991498, 0.0679128160, 0.0529685752, 2969.4493, 2905.0000, 767.0100, 16.9667
2025-12-08 18:03:33, 0.0419112070, 0.0487103478, 0.0698044140, 0.0664736607, 3171.4098, 2919.5246, 771.5400, 18.4369
2025-12-08 18:03:39, 0.0493775145, 0.0456620606, 0.1056650535, 0.0765419155, 3141.4462, 2977.2769, 763.1800, 18.0060
2025-12-08 18:03:45, 0.0525751818, 0.0489034968, 0.0772115318, 0.0785087954, 3012.2899, 2804.4203, 773.5150, 18.4545
2025-12-08 18:03:51, 0.0447975352, 0.0398958904, 0.0758684754, 0.0740421661, 3119.2419, 2917.4516, 772.8550, 18.2325
2025-12-08 18:03:56, 0.0653610001, 0.0469666434, 0.0550646744, 0.0594658116, 3176.7833, 2957.8000, 773.0550, 17.5198
2025-12-08 18:04:02, 0.0511803892, 0.0583672661, 0.0724784506, 0.0612715678, 2971.0779, 2855.7922, 771.5850, 17.2717
2025-12-08 18:04:08, 0.0564555616, 0.0573952682, 0.0612244047, 0.0473489895, 2800.9577, 2658.0986, 772.4950, 18.7043
2025-12-08 18:04:14, 0.0656585988, 0.0579363828, 0.0464900851, 0.0392853190, 2952.9221, 2766.3896, 771.7000, 18.7395
2025-12-08 18:04:20, 0.0548264172, 0.0381786005, 0.0705427747, 0.0430341060, 2842.5156, 2651.3594, 769.9550, 18.3020
2025-12-08 18:04:26, 0.0601470181, 0.0758033829, 0.0802198273, 0.0634253754, 2910.3934, 2669.2787, 772.5600, 18.1787
2025-12-08 18:04:32, 0.0414139354, 0.0430030881, 0.0984615451, 0.0741046110, 2983.5200, 2681.0200, 774.7350, 19.2399
2025-12-08 18:04:38, 0.0701469968, 0.0536805041, 0.0957959393, 0.0868453834, 3249.2754, 3087.8986, 771.5300, 18.7806
2025-12-08 18:04:44, 0.0619208714, 0.0508635969, 0.0531039987, 0.0417854769, 3005.6618, 2863.5000, 774.5450, 18.9813
2025-12-08 18:04:50, 0.0541355033, 0.0582765199, 0.0662741084, 0.0695703519, 3103.0000, 2905.6000, 773.2750, 18.4231
2025-12-08 18:04:55, 0.0505807278, 0.0527114617, 0.0594776736, 0.0628631909, 2975.9487, 2953.3205, 773.2150, 20.9267
2025-12-08 18:05:01, 0.0555722466, 0.0459414866, 0.0598742272, 0.0632332491, 3036.2586, 2824.5690, 766.5300, 20.6143
2025-12-08 18:05:07, 0.0680009491, 0.0750476470, 0.0684899999, 0.0670463586, 2970.3443, 2838.3443, 773.0600, 18.8228
2025-12-08 18:05:13, 0.0601539648, 0.0595532875, 0.0917497073, 0.0909213400, 2947.6765, 2869.2794, 773.3750, 20.7476
